"Story","Title","Result","Date","Stability","Duration (s)"
"Seleccion de compras en plataforma Demoblaze","El usuario desea realizar una compra","PENDING","2024-09-22T17:57:58.7211967-05:00[America/Bogota]","0.0","0.07"
"Seleccion de compras en plataforma Demoblaze","El usuario desea realizar una compra","PENDING","2024-09-22T17:57:58.7211967-05:00[America/Bogota]","0.0","0.07"
